1.6834 1.6744
# Distance Distribution
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.000 0.000
0.012 0.000
1.604 1.798
11.744 12.034
23.470 24.480
22.621 21.841
15.362 15.624
10.229 9.281
6.202 6.145
3.950 3.966
2.661 2.705
2.144 2.126
# Angle Distribution
0.446 0.364
0.980 1.087
1.865 1.714
2.483 2.437
2.828 2.855
3.582 3.583
3.885 3.697
4.099 4.204
4.574 4.712
5.002 4.760
4.960 4.861
4.770 4.969
4.824 4.748
4.586 4.844
4.384 4.437
4.283 4.646
4.081 4.228
3.837 4.097
4.140 3.936
3.540 4.007
3.511 3.315
3.160 3.183
3.261 3.207
2.762 2.735
2.774 2.371
2.436 2.443
2.548 2.407
2.293 2.144
2.109 2.156
1.996 1.851
